office_from_id,route_id,dispatch_time,vehicle_type,vehicles_count,demand,covered
26,0,2025-05-30 11:00:00,gazelle_s,1,8,18
26,0,2025-05-30 11:30:00,gazelle_s,1,5,18
26,0,2025-05-30 12:00:00,gazelle_s,1,5,18
26,0,2025-05-30 12:30:00,gazelle_s,1,9,18
26,0,2025-05-30 13:00:00,gazelle_s,1,6,18
26,0,2025-05-30 13:30:00,gazelle_s,1,10,18
26,0,2025-05-30 14:00:00,gazelle_s,1,9,18
26,0,2025-05-30 14:30:00,gazelle_s,1,8,18
26,0,2025-05-30 15:00:00,gazelle_s,1,7,18
26,0,2025-05-30 15:30:00,gazelle_s,1,7,18
10,1,2025-05-30 11:00:00,gazelle_l,1,142,26
10,1,2025-05-30 11:00:00,truck_l,2,142,120
10,1,2025-05-30 11:30:00,gazelle_s,1,163,18
10,1,2025-05-30 11:30:00,gazelle_l,1,163,26
10,1,2025-05-30 11:30:00,truck_l,2,163,120
10,1,2025-05-30 12:00:00,truck_m,1,160,40
10,1,2025-05-30 12:00:00,truck_l,2,160,120
10,1,2025-05-30 12:30:00,gazelle_s,1,163,18
10,1,2025-05-30 12:30:00,gazelle_l,1,163,26
10,1,2025-05-30 12:30:00,truck_l,2,163,120
10,1,2025-05-30 13:00:00,truck_m,1,157,40
10,1,2025-05-30 13:00:00,truck_l,2,157,120
10,1,2025-05-30 13:30:00,truck_m,1,154,40
10,1,2025-05-30 13:30:00,truck_l,2,154,120
10,1,2025-05-30 14:00:00,truck_m,1,154,40
10,1,2025-05-30 14:00:00,truck_l,2,154,120
10,1,2025-05-30 14:30:00,truck_m,1,156,40
10,1,2025-05-30 14:30:00,truck_l,2,156,120
10,1,2025-05-30 15:00:00,truck_m,1,156,40
10,1,2025-05-30 15:00:00,truck_l,2,156,120
10,1,2025-05-30 15:30:00,truck_m,1,154,40
10,1,2025-05-30 15:30:00,truck_l,2,154,120
45,2,2025-05-30 11:00:00,gazelle_s,1,4,18
45,2,2025-05-30 11:30:00,gazelle_s,1,6,18
45,2,2025-05-30 12:00:00,gazelle_s,1,8,18
45,2,2025-05-30 12:30:00,gazelle_s,1,8,18
45,2,2025-05-30 13:00:00,gazelle_s,1,8,18
45,2,2025-05-30 13:30:00,gazelle_s,1,9,18
45,2,2025-05-30 14:00:00,gazelle_s,1,9,18
45,2,2025-05-30 14:30:00,gazelle_s,1,10,18
45,2,2025-05-30 15:00:00,gazelle_s,1,10,18
45,2,2025-05-30 15:30:00,gazelle_s,1,10,18
40,3,2025-05-30 11:00:00,gazelle_s,1,133,18
40,3,2025-05-30 11:00:00,truck_l,2,133,120
40,3,2025-05-30 11:30:00,truck_m,2,140,80
40,3,2025-05-30 11:30:00,truck_l,1,140,60
40,3,2025-05-30 12:00:00,gazelle_l,1,141,26
40,3,2025-05-30 12:00:00,truck_l,2,141,120
40,3,2025-05-30 12:30:00,gazelle_l,1,85,26
40,3,2025-05-30 12:30:00,truck_l,1,85,60
40,3,2025-05-30 13:00:00,truck_m,1,88,40
40,3,2025-05-30 13:00:00,truck_l,1,88,60
40,3,2025-05-30 13:30:00,truck_m,1,96,40
40,3,2025-05-30 13:30:00,truck_l,1,96,60
40,3,2025-05-30 14:00:00,truck_m,1,97,40
40,3,2025-05-30 14:00:00,truck_l,1,97,60
